id,title,image_link
11954,سبحة عقيق يماني,https://e-majaz.com/wp-content/uploads/2020/11/WhatsApp-Image-2020-11-04-at-4.10.32-PM.jpeg
11956,عصا خشب,"https://e-majaz.com/wp-content/uploads/2020/11/WhatsApp-Image-2020-11-04-at-4.10.31-PM-1.jpeg, https://e-majaz.com/wp-content/uploads/2020/11/WhatsApp-Image-2020-11-04-at-4.10.31-PM.jpeg, https://e-majaz.com/wp-content/uploads/2020/11/WhatsApp-Image-2020-11-04-at-4.10.31-PM-1.jpeg"
12236,زبيري حساوي متُوسع,"https://e-majaz.com/wp-content/uploads/2021/03/زبيري-مبطنمنتج.jpg, https://e-majaz.com/wp-content/uploads/2020/12/3.jpg, https://e-majaz.com/wp-content/uploads/2020/12/333.jpg, https://e-majaz.com/wp-content/uploads/2020/12/3333.jpg"
12242,زبيري حساوي متُوسع,"https://e-majaz.com/wp-content/uploads/2021/03/زبيري-عين-منتج.jpg, https://e-majaz.com/wp-content/uploads/2020/12/4.jpg, https://e-majaz.com/wp-content/uploads/2020/12/44.jpg, https://e-majaz.com/wp-content/uploads/2020/12/444.jpg"
12287,المداد,"https://e-majaz.com/wp-content/uploads/2020/12/9.jpg, https://e-majaz.com/wp-content/uploads/2020/12/9.jpg, https://e-majaz.com/wp-content/uploads/2020/12/99.png"
13014,زبيري حساوي متُوسع - 38,
13015,زبيري حساوي متُوسع - 39,
13016,زبيري حساوي متُوسع - 40,
13017,زبيري حساوي متُوسع - 41,
13018,زبيري حساوي متُوسع - 42,
13019,زبيري حساوي متُوسع - 43,
13020,زبيري حساوي متُوسع - 44,
13028,زبيري حساوي متُوسع - 38,
13029,زبيري حساوي متُوسع - 39,
13030,زبيري حساوي متُوسع - 40,
13031,زبيري حساوي متُوسع - 41,
13032,زبيري حساوي متُوسع - 42,
13033,زبيري حساوي متُوسع - 43,
13034,زبيري حساوي متُوسع - 44,
13181,"باب القيصرية ""ميدالية"" - دبوس",
13182,"باب القيصرية ""ميدالية"" - مغنطيس",
13183,"باب القيصرية ""ميدالية"" - ميدالية",
13185,بروش النخلة - دبوس,
13187,بروش النخلة - ميدالية,
13191,بروش رطب - دبوس,
13194,قصر إبراهيم - دبوس,
13468,تمر خلاص جامبو جازات,"https://e-majaz.com/wp-content/uploads/2021/01/1-2.jpg, https://e-majaz.com/wp-content/uploads/2021/01/1-2.jpg"
13472,تمر شيشي الاحساء حبة طويل مطوق جازات,"https://e-majaz.com/wp-content/uploads/2021/01/3-3.jpg, https://e-majaz.com/wp-content/uploads/2021/01/3-3.jpg, https://e-majaz.com/wp-content/uploads/2021/01/3-1.jpg"
13474,تمر خلاص محشي لوز وسط جازات,"https://e-majaz.com/wp-content/uploads/2021/01/81.jpg, https://e-majaz.com/wp-content/uploads/2021/01/80.jpg, https://e-majaz.com/wp-content/uploads/2021/01/81.jpg"
